MessageProcessed,Tags
aparece o número da minha conta cadastrada,VERB ART SUBS PREP PRON VERB VERB
por favor mande o boleto por email,PREP SUBS VERB ART SUBS PREP SUBS
qual o valor de MEASURE ?,INT ART SUBS PREP SUBS PON
por quê minha proposta foi negada,PREP INT PRON SUBS VERB VERB
eu não consigo você pode me ajudar ?,PRON ADV VERB PRON VERB PRON VERB PON
mas ontem o site estava com 15 de desconto,CONJ ADV ART SUBS VERB PREP SUBS PREP SUBS
"agora sim , fiquei mais tranquilo",ADV INT PON VERB ADV ADJ
e eu digitei o valor do dia NUMBER,CONJ PRON VERB ART SUBS PREP SUBS NUM
não consegui contato por telefone,ADV VERB SUBS PREP SUBS
quero negociar a minha dívida,VERB VERB ART PRON SUBS
qual é a taxa da antecipação do crédito,INT VERB ART SUBS PREP SUBS PREP SUBS
"pode ser esse , sim",VERB VERB PRON PON INT
e um empréstimo de NUMBER,CONJ ART SUBS PREP NUM
posso usar o meu atual da net ?,VERB VERB ART PRON ADJ PREP SUBS PON
tenho saldo é tento fazer uma transferência e fala saldo insuficiente,VERB SUBS VERB VERB VERB ART SUBS CONJ VERB SUBS ADJ
não tem a opção NUMBER,ADV VERB ART SUBS NUM
um calor de NUMBER no débito,ART SUBS PREP NUM PREP SUBS
"bom dia , o sistema não carrega as fotos .",ADJ SUBS PON ART SUBS ADV VERB ART SUBS PON
seria limite do cartao ? é isso ? aquele limite de saque ?,VERB VERB PREP SUBS PON VERB PRON PON PRON VERB PREP SUBS PON
"mas , tem a opção de colocar pra receber em NUMBER dias",CONJ PON VERB ART SUBS PREP VERB PREP VERB PREP NUM SUBS
ou posso mandar pra outro endereço ?,CONJ VERB VERB PREP PRON SUBS PON
NUMBER empresa e NUMBER filiais,NUM SUBS CONJ NUM ADJ
vale mais a pena contratar NUMBER linhas controle,SUBS ADV ART SUBS VERB NUM SUBS SUBS
correio tem algum custo ?,SUBS VERB PRON SUBS PON
"nao , somente na MEASURE feira",ADV PON ADV PREP SUBS SUBS
NUMBER de outubro de NUMBER,NUM PREP SUBS PREP NUM
"olá , o meu saldo está bloqueado",INT PON ART PRON SUBS VERB SUBS
bom dia estou tentando entrar na plataforma,ADJ SUBS VERB VERB VERB PREP SUBS
"eu tinha um , mas cancelaram",PRON VERB ART PON CONJ VERB
"sim , o ted voltou",INT PON ART SUBS VERB
o de MEASURE pode ser sem fidelidade ?,ART PREP SUBS VERB VERB PREP SUBS PON
não estou recebendo meu código de segurança,ADV VERB VERB PRON SUBS PREP SUBS
cpf CPF número NUMBER PHONE,SUBS SUBS SUBS NUM SUBS
"olá , bom dia . gostaria de alterar meu email principal na conta do pagseguro",INT PON ADJ SUBS PON VERB PREP VERB PRON SUBS ADJ PREP VERB PREP SUBS
vai ter taxa zero também ?,VERB VERB SUBS NUM ADV PON
meu número da nextel é NUMBER,PRON SUBS PREP SUBS VERB NUM
"marcos , ficou alguma dúvida ?",SUBS PON VERB PRON SUBS PON
tem algum telefone pra ligar e tirar informações ?,VERB PRON SUBS PREP VERB CONJ VERB SUBS PON
foi desbloqueado o saldo ?,VERB VERB ART SUBS PON
minha máquina está dando código CODE,PRON SUBS VERB VERB SUBS SUBS
o meu login é o meu e-mail ?,ART PRON SUBS VERB ART PRON SUBS PON
estou no aguardo da análise PHONE,VERB PREP VERB PREP SUBS SUBS
e já deu NUMBER horas,CONJ ADV VERB NUM SUBS
a análise de crédito é realizada por mês ou de NUMBER a NUMBER meses ?,ART SUBS PREP SUBS VERB ADJ PREP SUBS CONJ PREP NUM ART NUM SUBS PON
mais ninguém liga pra resolver !,ADV PRON VERB PREP VERB PON
esse é ilimitado ? sem comercial ?,PRON VERB ADJ PON PREP ADJ PON
já pedi faz NUMBER dias,ADV VERB VERB NUM SUBS
eu apenas gostaria de aumentar o limite do santander porque MEASURE não me atende .,PRON ADV VERB PREP VERB ART VERB PREP SUBS CONJ SUBS ADV PRON VERB PON
"bom dia , meu nome é ana paula",ADJ SUBS PON PRON SUBS VERB SUBS SUBS
já mandei comprovante via email,ADV VERB SUBS SUBS SUBS
NUMBER - molho de tomate clássico italiano,NUM SIMB SUBS PREP SUBS ADJ ADJ
o meu seguro é sobre acidente pessoal,ART PRON ADJ VERB PREP SUBS ADJ
mandar a do mês NUMBER,VERB ART PREP SUBS NUM
alguma resposta do protocolo NUMBER,PRON SUBS PREP SUBS NUM
não tem um valor de segurança ?,ADV VERB ART SUBS PREP SUBS PON
sim . possuo apenas o número NUMBER,INT PON VERB ADV ART SUBS NUM
esclareceu minha dúvida na primeira,VERB PRON SUBS PREP ADJ
pode passar as ofertas ?,VERB VERB ART SUBS PON
mas a outra renda de NUMBER,CONJ ART PRON SUBS PREP NUM
gostaria de consegui um empréstimo,VERB PREP VERB ART SUBS
